Titulo,Año,Duracion,Genero,Clasificacion,Descripcion,Estrellas,votes,Tipo,duracion_num,genero_principal,duration_min,link
Love Hard,(2021),104 min,"Comedy, Romance",6.3,"An LA girl, unlucky in love, falls for an East Coast guy on a dating app and decides to surprise him for the holidays, only to discover that she's been catfished. This lighthearted romantic comedy chronicles her attempt to reel in love.","['Hernan Jimenez', '| ', '    Stars:', 'Nina Dobrev, ', 'Jimmy O. Yang, ', 'Darren Barnet, ', 'James Saito']","50,967",Serie,104.0,Comedy,104.0,https://upload.wikimedia.org/wikipedia/en/f/f6/Love_Hard_poster.jpg
Love Is Blind,(2020– ),48 min,"Game-Show, Reality-TV, Romance",6.1,"Singles who want to be loved for who they are, rather than what they look like, have signed up for a less conventional approach to modern dating.","['Nick Lachey, ', 'Vanessa Lachey, ', 'Danielle Ruhl, ', 'Deepti Vempati']","8,099",Serie,48.0,Game-Show,48.0,https://image.tmdb.org/t/p/w500/bfcmu2kXWx5Lbm0hX3tKVqVexkX.jpg
Love Is Blind: Brazil,(2021– ),60 min,"Reality-TV, Romance",6.2,"The dating experiment comes to Brazil as local singles look for true love and get engaged, all without meeting the other person face to face.","['Shayan Haghbin, ', 'Rodrigo Vaisemberg, ', 'Lissio Fiod, ', 'Heather Nichols']",459,Serie,60.0,Reality-TV,60.0,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/Love_Is_Blind_Brazil_Title_Card.png/250px-Love_Is_Blind_Brazil_Title_Card.png
Love Is Blind: Japan,(2022– ),50 min,"Reality-TV, Romance",7.1,"In this reality dating series, marriage-minded singles in Japan meet, date and get engaged before ever setting eyes on each other.","['Esmée Ko, ', 'Takashi Fujii, ', 'Yuka Itaya']",578,Serie,50.0,Reality-TV,50.0,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Love_Is_Blind_Japan.png/250px-Love_Is_Blind_Japan.png
Love Island,(2019– ),42 min,"Game-Show, Reality-TV",4.9,U.S. version of the British show 'Love Island' where a group of singles come to stay in a villa for a few weeks and have to couple up with one another.,"['Matthew Hoffman, ', 'Iain Stirling, ', 'Zeta Morrison, ', 'Timmy Pandolfi']",977,Serie,42.0,Game-Show,42.0,https://image.tmdb.org/t/p/w500/7uaHwn2xZeY103SgLAKw3lvQFqz.jpg
Love Island Australia,(2018–2022),50 min,Reality-TV,5.4,Love Island Australia is an Australian dating reality show based on the British series Love Island.,"['Sophie Monk, ', 'Eoghan McDermott, ', 'Josh Moss, ', 'Erin Barnett']",652,Serie,50.0,Reality-TV,50.0,https://upload.wikimedia.org/wikipedia/en/thumb/2/2a/Love_Island_Australia_promotional_title_card.jpg/250px-Love_Island_Australia_promotional_title_card.jpg
Love Jacked,(2018),100 min,"Comedy, Romance",5.8,"MAYA, has artistic ambitions - her father ED wants a dutiful daughter to run the family store. Taking her independence a step further, Maya decides to travel to Africa for inspiration and returns with a fiancé.","['Alfons Adetuyi', '| ', '    Stars:', 'Keith David, ', 'Amber Stevens West, ', 'Mike Epps, ', 'Marla Gibbs']","2,259",Pelicula,100.0,Comedy,100.0,https://upload.wikimedia.org/wikipedia/en/thumb/3/3e/Love_jacked_xlg.jpg/250px-Love_jacked_xlg.jpg
Love Like the Falling Petals,(2022),128 min,"Drama, Romance",6.4,An aspiring photographer falls in love with a skillful hairstylist. The future stretches before them until a twist of fate threatens their romance.,"['Yoshihiro Fukagawa, ', 'Valeria Zunzun', '| ', '    Stars:', 'Andrew Russell, ', 'Honoka Matsumoto, ', 'Kento Nakajima']",475,Serie,128.0,Drama,128.0,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/Love_like_the_falling_petals.jpg/250px-Love_like_the_falling_petals.jpg
Love Me Instead,(2021),124 min,Drama,7.0,"One day, Sedat, who works as a prison guard in Konya, is given the duty to take one of the prisoners, Musa, to his hometown. Musa does not intend to return until he finds out why his daughter was killed.","['Mehmet Ada Öztekin', '| ', '    Stars:', 'Sarp Akkaya, ', 'Songül Öden, ', 'Ercan Kesal, ', 'Aleyna Özgeçen']","2,676",Serie,124.0,Drama,124.0,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Love_Me_Instead.jpg/250px-Love_Me_Instead.jpg
Love Over Distance,(2017),98 min,"Comedy, Romance",6.4,"A successful, city-based construction manager finds herself reconsidering her cosmopolitan life choices when her employer relocates her to a folksy seaside town.","['Jelle de Jonge', '| ', '    Stars:', 'Katja Herbers, ', 'Peter Bolhuis, ', 'Leny Breederveld, ', 'Guy Clemens']","1,169",Pelicula,98.0,Comedy,98.0,https://image.tmdb.org/t/p/w500/y83FuKlAORKUsu0uh6Yec8RaESe.jpg
Love Per Square Foot,(2018),133 min,"Comedy, Romance",7.2,"Individually, Sanjay and Karina don't earn enough to be able to buy a home, so they enter into a marriage of convenience.","['Anand Tiwari', '| ', '    Stars:', 'Vicky Kaushal, ', 'Angira Dhar, ', 'Alankrita Sahai, ', 'Raghuvir Yadav']","8,432",Serie,133.0,Comedy,133.0,https://upload.wikimedia.org/wikipedia/en/3/3d/Love_Per_Square_Foot.png
Love Sick: The Series,(2014–2015),45 min,Romance,7.4,"Based on the online Thai BL novel ""LOVE SICK: The Chaotic Lives of Blue Shorts Guys"", Phun has a girlfriend but his father wants him to date his friend's daughter. Phun's little sister, ...                See full summary »","['Chonlathorn Kongyingyong, ', 'Nawat Phumphothingam, ', 'Anupart Luangsodsai, ', 'Charnmanoon Pannin']",306,Serie,,Romance,45.0,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Love_Sick_The_Series_Logo.jpg/250px-Love_Sick_The_Series_Logo.jpg
Love Steaks,(2013),89 min,"Comedy, Drama, Romance",6.1,"Luxury hotel. Luxury clientele. Irritable staff. A couple who might fall in love, or they might leave their relationship in its raw state - like the titular steaks.","['Jakob Lass', '| ', '    Stars:', 'Lana Cooper, ', 'Franz Rogowski, ', 'Kerstin Abendroth, ', 'Daniel Alznauer']","2,115",Pelicula,89.0,Comedy,89.0,https://image.tmdb.org/t/p/w500/lohnIBxV3n4GlHo4sGEYfqQiR69.jpg
Love Tactics,(2022),97 min,"Comedy, Romance",5.2,"An ad executive and a fashion designer-blogger don't believe in love, so they place a bet to make the other fall head over heels - with unusual tactics.","['Emre Kabakusak', '| ', '    Stars:', 'Demet Özdemir, ', 'Sukru Ozyildiz, ', 'Atakan Çelik, ', 'Dogukan Polat']","4,031",Serie,97.0,Comedy,97.0,https://upload.wikimedia.org/wikipedia/en/thumb/0/0b/Love_Tactics.jpg/250px-Love_Tactics.jpg
Love Wedding Repeat,(2020),100 min,"Comedy, Romance",5.5,"While trying to make his sister's wedding day go smoothly, Jack finds himself juggling an angry ex-girlfriend, an uninvited guest with a secret, a misplaced sleep sedative, and the girl who got away in alternate versions of the same day.","['Dean Craig', '| ', '    Stars:', 'Sam Claflin, ', 'Olivia Munn, ', 'Freida Pinto, ', 'Eleanor Tomlinson']","20,649",Serie,100.0,Comedy,100.0,https://upload.wikimedia.org/wikipedia/en/3/39/Love_Wedding_Repeat.jpg
Love You as the World Ends,(2021–2022),60 min,Action,6.5,A car mechanic fights to survive an invasion of the living dead while holding onto the hope that he'll be reunited with the woman he loves.,"['Marie Iitoyo, ', 'Ryoma Takeuchi, ', 'Ayami Nakajô, ', 'Shô Kasamatsu']",115,Serie,60.0,Action,60.0,https://upload.wikimedia.org/wikipedia/en/thumb/8/87/LoveYouAsTheWorldEnds.jpg/250px-LoveYouAsTheWorldEnds.jpg
Love and Fury,(2020),93 min,Documentary,6.7,Filmmaker Sterlin Harjo follows Native artists for a year as they navigate their careers in the US and abroad. The film explores the immense complexities each artist faces in regards to ...                See full summary »,"['Sterlin Harjo', '| ', '    Stars:', 'Micah P. Hinson, ', 'Julia Keefe']",30,Pelicula,93.0,Documentary,93.0,https://image.tmdb.org/t/p/w500/WXydEhj8MpFUKkuWGuHgM7NJbO.jpg
Love and Leashes,(2022),117 min,"Comedy, Romance",6.3,"Love never hurt so good for two co-workers who enter a contractual relationship as partners in consensual play, pleasure and pain.","['Hyeon-jin Park', '| ', '    Stars:', 'Seohyun, ', 'Joon-Young Lee, ', 'Jennifer Sun Bell, ', 'Lee El']","4,570",Serie,117.0,Comedy,117.0,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Love_and_Leashes.jpg/250px-Love_and_Leashes.jpg
Love and Monsters,(I) (2020),109 min,"Action, Adventure, Comedy",6.9,"Seven years after he survived the monster apocalypse, lovably hapless Joel leaves his cozy underground bunker behind on a quest to reunite with his ex.","['Michael Matthews', '| ', '    Stars:', ""Dylan O'Brien, "", 'Jessica Henwick, ', 'Michael Rooker, ', 'Dan Ewing']","126,227",Pelicula,109.0,Action,109.0,https://image.tmdb.org/t/p/w500/jtMNOMkCkj0hkm3ubWtd5rt1N5s.jpg
Love and Redemption,(2020– ),45 min,"Action, Drama, Fantasy",8.4,"According to legends, the god of war saved the heavens in a deadly battle against the demon a thousand years ago. Both fell from the heavens and disappeared from the world.","['Xueyi Liu, ', 'Mickey He, ', 'Cheng Yi, ', 'Wei Wei']",651,Serie,,Action,45.0,https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Love_and_Redemption.webp/250px-Love_and_Redemption.webp.png
Love in the Villa,(2022),114 min,"Comedy, Romance",5.3,"A young woman takes a trip to romantic Verona, Italy, after a breakup, only to find that the villa she reserved was double-booked, and she'll have to share her vacation with a cynical British man.","['Mark Steven Johnson', '| ', '    Stars:', 'Kat Graham, ', 'Tom Hopper, ', 'Raymond Ablack, ', 'Laura Hopper']","7,048",Serie,114.0,Comedy,114.0,https://upload.wikimedia.org/wikipedia/en/thumb/2/27/Love_in_the_villa.jpg/250px-Love_in_the_villa.jpg
Love like the Falling Rain,(2020),86 min,"Adventure, Drama, Fantasy",4.7,"Kevin and Nara have been friends since childhood and they promise to always be best friends. But when Nara falls in love with a mysterious boy, Kevin feels that there is no hope for him to be with her forever.","['Lasja Fauzia', '| ', '    Stars:', 'Jefri Nichol, ', 'Aurora Ribero, ', 'Axel Matthew Thomas, ', 'Nadya Arina']",207,Serie,86.0,Adventure,86.0,https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Love_Like_the_Falling_Rain.jpg/250px-Love_Like_the_Falling_Rain.jpg
Love on the Spectrum,(2019–2021),45 min,"Documentary, Reality-TV, Romance",8.6,"A documentary series following young adults on the autism spectrum as they explore the unpredictable world of love, dating and relationships.","['Brooke Satchwell, ', 'Michael Theo, ', 'Mark Radburn, ', 'Ronan Soussa']","6,066",Serie,45.0,Documentary,45.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
Love on the Spectrum U.S.,(2022– ),40 min,"Documentary, Short, Comedy",8.2,It follows people on the autism spectrum as they navigate the world of dating and relationships.,"['Dani Bowman, ', 'Subodh Garg, ', 'Kaelynn Partlow, ', 'Abbey Lutes']","1,327",Serie,40.0,Documentary,40.0,https://upload.wikimedia.org/wikipedia/commons/a/ac/No_image_available.svg
